Neuron_ID,Neuron_Label,A,Region_A,B,Region_B,C,Region_C
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-10,neuron type bolew unbranched 10,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-16,neuron type bolew unbranched 16,http://purl.obolibrary.org/obo/UBERON_0001989,superior cervical ganglion,http://purl.obolibrary.org/obo/UBERON_0001737,larynx,http://uri.interlex.org/base/ilx_0793560,External branch of superior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-17,neuron type bolew unbranched 17,http://purl.obolibrary.org/obo/UBERON_0001989,superior cervical ganglion,http://purl.obolibrary.org/obo/UBERON_0001737,larynx,http://uri.interlex.org/base/ilx_0793561,Internal branch of superior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-18,neuron type bolew unbranched 18,http://purl.obolibrary.org/obo/UBERON_0001989,superior cervical ganglion,http://purl.obolibrary.org/obo/UBERON_0000388,epiglottis,http://uri.interlex.org/base/ilx_0793560,External branch of superior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-19,neuron type bolew unbranched 19,http://purl.obolibrary.org/obo/UBERON_0001989,superior cervical ganglion,http://purl.obolibrary.org/obo/UBERON_0000388,epiglottis,http://uri.interlex.org/base/ilx_0793561,Internal branch of superior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-20,neuron type bolew unbranched 20,http://purl.obolibrary.org/obo/UBERON_0001989,superior cervical ganglion,http://purl.obolibrary.org/obo/UBERON_0000388,epiglottis,http://uri.interlex.org/base/ilx_0738308,External branch of inferior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-21,neuron type bolew unbranched 21,http://purl.obolibrary.org/obo/UBERON_0001989,superior cervical ganglion,http://purl.obolibrary.org/obo/UBERON_0000388,epiglottis,http://uri.interlex.org/base/ilx_0738309,Internal branch of inferior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-8,neuron type bolew unbranched 8,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://uri.interlex.org/base/ilx_0738316,Aortic arch baroreceptors,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-8,neuron type bolew unbranched 8,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-9,neuron type bolew unbranched 9,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://uri.interlex.org/base/ilx_0738317,Laryngeal mechanoreceptors,http://purl.obolibrary.org/obo/UBERON_0011326,superior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-9,neuron type bolew unbranched 9,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://uri.interlex.org/base/ilx_0738317,Laryngeal mechanoreceptors,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-9,neuron type bolew unbranched 9,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0011326,superior laryngeal nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-9,neuron type bolew unbranched 9,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bromo-2,neuron type bromo 2,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0793572,bronchiole parasympathetic ganglia,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bromo-2,neuron type bromo 2,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0793571,bronchus parasympathetic ganglia,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bromo-2,neuron type bromo 2,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0793573,terminal bronchiole parasympathetic ganglia,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bromo-2,neuron type bromo 2,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0793570,trachea parasympathetic ganglia,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-pancr-5,neuron type pancr 5,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0793178,intrapancreatic ganglia,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-splen-2,neuron type splen 2,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0793082,celiac ganglion- superior mesenteric ganglion complex,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
